,ITTER107,Territorio,Tipo dato,TIME,Value
52185,ITC1,Piemonte,popolazione al 1º gennaio,2014,4420924
52186,ITC1,Piemonte,popolazione al 1º gennaio,2015,4403562
52187,ITC1,Piemonte,popolazione al 1º gennaio,2016,4384226
52188,ITC1,Piemonte,popolazione al 1º gennaio,2017,4370348
52189,ITC1,Piemonte,popolazione al 1º gennaio,2018,4349911
52190,ITC1,Piemonte,popolazione al 1º gennaio,2019,4328565
52330,IT,Italia,popolazione al 1º gennaio,2014,60345917
52331,IT,Italia,popolazione al 1º gennaio,2015,60295497
52332,IT,Italia,popolazione al 1º gennaio,2016,60163712
52333,IT,Italia,popolazione al 1º gennaio,2017,60066734
52334,IT,Italia,popolazione al 1º gennaio,2018,59937769
52335,IT,Italia,popolazione al 1º gennaio,2019,59816673
53414,ITD1,Provincia Autonoma Bolzano / Bozen,popolazione al 1º gennaio,2014,515389
53415,ITD1,Provincia Autonoma Bolzano / Bozen,popolazione al 1º gennaio,2015,517994
53416,ITD1,Provincia Autonoma Bolzano / Bozen,popolazione al 1º gennaio,2016,520252
53417,ITD1,Provincia Autonoma Bolzano / Bozen,popolazione al 1º gennaio,2017,523454
53418,ITD1,Provincia Autonoma Bolzano / Bozen,popolazione al 1º gennaio,2018,526772
53419,ITD1,Provincia Autonoma Bolzano / Bozen,popolazione al 1º gennaio,2019,530313
54166,ITC3,Liguria,popolazione al 1º gennaio,2014,1580322
54167,ITC3,Liguria,popolazione al 1º gennaio,2015,1569427
54168,ITC3,Liguria,popolazione al 1º gennaio,2016,1557742
54169,ITC3,Liguria,popolazione al 1º gennaio,2017,1551379
54170,ITC3,Liguria,popolazione al 1º gennaio,2018,1541541
54171,ITC3,Liguria,popolazione al 1º gennaio,2019,1532980
55858,ITC20,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2014,128245
55859,ITC20,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2015,127972
55860,ITC20,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2016,127030
55861,ITC20,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2017,126677
55862,ITC20,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2018,126213
55863,ITC20,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2019,125653
56074,ITC4,Lombardia,popolazione al 1º gennaio,2014,9929769
56075,ITC4,Lombardia,popolazione al 1º gennaio,2015,9954769
56076,ITC4,Lombardia,popolazione al 1º gennaio,2016,9958447
56077,ITC4,Lombardia,popolazione al 1º gennaio,2017,9970419
56078,ITC4,Lombardia,popolazione al 1º gennaio,2018,9986962
56079,ITC4,Lombardia,popolazione al 1º gennaio,2019,10010833
56331,ITC2,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2014,128245
56332,ITC2,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2015,127972
56333,ITC2,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2016,127030
56334,ITC2,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2017,126677
56335,ITC2,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2018,126213
56336,ITC2,Valle d'Aosta / Vallée d'Aoste,popolazione al 1º gennaio,2019,125653
57370,ITD3,Veneto,popolazione al 1º gennaio,2014,4905712
57371,ITD3,Veneto,popolazione al 1º gennaio,2015,4902694
57372,ITD3,Veneto,popolazione al 1º gennaio,2016,4890648
57373,ITD3,Veneto,popolazione al 1º gennaio,2017,4883373
57374,ITD3,Veneto,popolazione al 1º gennaio,2018,4880936
57375,ITD3,Veneto,popolazione al 1º gennaio,2019,4884590
60233,ITD5,Emilia-Romagna,popolazione al 1º gennaio,2014,4432241
60234,ITD5,Emilia-Romagna,popolazione al 1º gennaio,2015,4434377
60235,ITD5,Emilia-Romagna,popolazione al 1º gennaio,2016,4435480
60236,ITD5,Emilia-Romagna,popolazione al 1º gennaio,2017,4439768
60237,ITD5,Emilia-Romagna,popolazione al 1º gennaio,2018,4445920
60238,ITD5,Emilia-Romagna,popolazione al 1º gennaio,2019,4459453
60973,ITD4,Friuli-Venezia Giulia,popolazione al 1º gennaio,2014,1224984
60974,ITD4,Friuli-Venezia Giulia,popolazione al 1º gennaio,2015,1221664
60975,ITD4,Friuli-Venezia Giulia,popolazione al 1º gennaio,2016,1216208
60976,ITD4,Friuli-Venezia Giulia,popolazione al 1º gennaio,2017,1212809
60977,ITD4,Friuli-Venezia Giulia,popolazione al 1º gennaio,2018,1211155
60978,ITD4,Friuli-Venezia Giulia,popolazione al 1º gennaio,2019,1210414
61855,ITDA,Trentino Alto Adige / Südtirol,popolazione al 1º gennaio,2014,1052202
61856,ITDA,Trentino Alto Adige / Südtirol,popolazione al 1º gennaio,2015,1056182
61857,ITDA,Trentino Alto Adige / Südtirol,popolazione al 1º gennaio,2016,1059765
61858,ITDA,Trentino Alto Adige / Südtirol,popolazione al 1º gennaio,2017,1063734
61859,ITDA,Trentino Alto Adige / Südtirol,popolazione al 1º gennaio,2018,1068738
61860,ITDA,Trentino Alto Adige / Südtirol,popolazione al 1º gennaio,2019,1074034
61963,ITD2,Provincia Autonoma Trento,popolazione al 1º gennaio,2014,536813
61964,ITD2,Provincia Autonoma Trento,popolazione al 1º gennaio,2015,538188
61965,ITD2,Provincia Autonoma Trento,popolazione al 1º gennaio,2016,539513
61966,ITD2,Provincia Autonoma Trento,popolazione al 1º gennaio,2017,540280
61967,ITD2,Provincia Autonoma Trento,popolazione al 1º gennaio,2018,541966
61968,ITD2,Provincia Autonoma Trento,popolazione al 1º gennaio,2019,543721
64233,ITE4,Lazio,popolazione al 1º gennaio,2014,5723955
64234,ITE4,Lazio,popolazione al 1º gennaio,2015,5744899
64235,ITE4,Lazio,popolazione al 1º gennaio,2016,5761508
64236,ITE4,Lazio,popolazione al 1º gennaio,2017,5774092
64237,ITE4,Lazio,popolazione al 1º gennaio,2018,5774606
64238,ITE4,Lazio,popolazione al 1º gennaio,2019,5773076
65452,ITE1,Toscana,popolazione al 1º gennaio,2014,3744293
65453,ITE1,Toscana,popolazione al 1º gennaio,2015,3739044
65454,ITE1,Toscana,popolazione al 1º gennaio,2016,3726422
65455,ITE1,Toscana,popolazione al 1º gennaio,2017,3721391
65456,ITE1,Toscana,popolazione al 1º gennaio,2018,3712048
65457,ITE1,Toscana,popolazione al 1º gennaio,2019,3701343
68456,ITF2,Molise,popolazione al 1º gennaio,2014,312897
68457,ITF2,Molise,popolazione al 1º gennaio,2015,311398
68458,ITF2,Molise,popolazione al 1º gennaio,2016,310026
68459,ITF2,Molise,popolazione al 1º gennaio,2017,308400
68460,ITF2,Molise,popolazione al 1º gennaio,2018,306564
68461,ITF2,Molise,popolazione al 1º gennaio,2019,303790
68543,ITF3,Campania,popolazione al 1º gennaio,2014,5812768
68544,ITF3,Campania,popolazione al 1º gennaio,2015,5804370
68545,ITF3,Campania,popolazione al 1º gennaio,2016,5790783
68546,ITF3,Campania,popolazione al 1º gennaio,2017,5776654
68547,ITF3,Campania,popolazione al 1º gennaio,2018,5762889
68548,ITF3,Campania,popolazione al 1º gennaio,2019,5740291
68927,ITE2,Umbria,popolazione al 1º gennaio,2014,892099
68928,ITE2,Umbria,popolazione al 1º gennaio,2015,888288
68929,ITE2,Umbria,popolazione al 1º gennaio,2016,884092
68930,ITE2,Umbria,popolazione al 1º gennaio,2017,880992
68931,ITE2,Umbria,popolazione al 1º gennaio,2018,876477
68932,ITE2,Umbria,popolazione al 1º gennaio,2019,873744
69014,ITE3,Marche,popolazione al 1º gennaio,2014,1549478
69015,ITE3,Marche,popolazione al 1º gennaio,2015,1545869
69016,ITE3,Marche,popolazione al 1º gennaio,2016,1538442
69017,ITE3,Marche,popolazione al 1º gennaio,2017,1532460
69018,ITE3,Marche,popolazione al 1º gennaio,2018,1526331
69019,ITE3,Marche,popolazione al 1º gennaio,2019,1520321
71856,ITF4,Puglia,popolazione al 1º gennaio,2014,4077788
71857,ITF4,Puglia,popolazione al 1º gennaio,2015,4063269
71858,ITF4,Puglia,popolazione al 1º gennaio,2016,4043735
71859,ITF4,Puglia,popolazione al 1º gennaio,2017,4024067
71860,ITF4,Puglia,popolazione al 1º gennaio,2018,4000966
71861,ITF4,Puglia,popolazione al 1º gennaio,2019,3975528
72037,ITF5,Basilicata,popolazione al 1º gennaio,2014,575814
72038,ITF5,Basilicata,popolazione al 1º gennaio,2015,573236
72039,ITF5,Basilicata,popolazione al 1º gennaio,2016,569887
72040,ITF5,Basilicata,popolazione al 1º gennaio,2017,566405
72041,ITF5,Basilicata,popolazione al 1º gennaio,2018,562968
72042,ITF5,Basilicata,popolazione al 1º gennaio,2019,558587
72472,ITF1,Abruzzo,popolazione al 1º gennaio,2014,1329918
72473,ITF1,Abruzzo,popolazione al 1º gennaio,2015,1325836
72474,ITF1,Abruzzo,popolazione al 1º gennaio,2016,1319294
72475,ITF1,Abruzzo,popolazione al 1º gennaio,2017,1313930
72476,ITF1,Abruzzo,popolazione al 1º gennaio,2018,1306059
72477,ITF1,Abruzzo,popolazione al 1º gennaio,2019,1300645
72923,ITF6,Calabria,popolazione al 1º gennaio,2014,1958226
72924,ITF6,Calabria,popolazione al 1º gennaio,2015,1951733
72925,ITF6,Calabria,popolazione al 1º gennaio,2016,1943085
72926,ITF6,Calabria,popolazione al 1º gennaio,2017,1935097
72927,ITF6,Calabria,popolazione al 1º gennaio,2018,1924257
72928,ITF6,Calabria,popolazione al 1º gennaio,2019,1912021
73537,ITG2,Sardegna,popolazione al 1º gennaio,2014,1652528
73538,ITG2,Sardegna,popolazione al 1º gennaio,2015,1648642
73539,ITG2,Sardegna,popolazione al 1º gennaio,2016,1642492
73540,ITG2,Sardegna,popolazione al 1º gennaio,2017,1636839
73541,ITG2,Sardegna,popolazione al 1º gennaio,2018,1631040
73542,ITG2,Sardegna,popolazione al 1º gennaio,2019,1622257
73893,ITG1,Sicilia,popolazione al 1º gennaio,2014,5041754
73894,ITG1,Sicilia,popolazione al 1º gennaio,2015,5028266
73895,ITG1,Sicilia,popolazione al 1º gennaio,2016,5004400
73896,ITG1,Sicilia,popolazione al 1º gennaio,2017,4977900
73897,ITG1,Sicilia,popolazione al 1º gennaio,2018,4942188
73898,ITG1,Sicilia,popolazione al 1º gennaio,2019,4908548
