"Media 2000-2018 ","2014","2015","2016","2017","2018","2019"
"Piemonte ","7.950.174","8.068.502","7.799.825","7.773.477","7.977.546","7.839.875"
"Valle d'Aosta ","265.799","240.102","233.609","229.501","238.421","256.413"
"Lombardia ","23.888.228","24.379.175","24.319.730","23.714.340","25.418.256","21.283.214"
"Liguria ","3.264.961","2.882.344","2.876.990","2.828.186","3.397.242","2.989.652"
"P.A. Trento ","1.169.641","1.175.446","1.149.568","1.178.064","1.164.550","1.097.678"
"P.A. Bolzano ","1.091.604","1.091.007","1.071.360","1.092.770","1.121.171","1.110.964"
"Veneto ","9.247.398","8.462.985","9.066.377","9.099.075","8.903.851","8.675.916"
"Friuli Venezia Giulia ","2.486.072","2.134.932","2.474.586","2.587.494","2.843.113","2.236.716"
"Emilia Romagna ","9.537.042","9.261.462","9.489.914","9.256.760","9.517.326","8.784.720"
"Toscana ","6.466.117","6.355.577","6.155.458","6.421.289","6.793.643","6.659.719"
"Umbria ","1.605.412","1.585.919","1.657.464","1.764.932","1.706.194","1.663.882"
"Marche ","2.863.403","2.883.123","2.775.166","2.822.834","2.912.844","2.663.284"
"Lazio ","14.340.959","10.897.744","11.340.193","11.085.658","11.594.145","10.135.603"
"Abruzzo ","2.187.020","2.460.029","2.676.939","2.288.537","2.457.793","2.225.392"
"Molise ","518.726","653.079","806.611","797.066","748.198","530.279"
"Campania ","10.306.088","9.162.410","9.484.336","9.279.873","9.209.319","8.955.481"
"Puglia ","6.546.261","6.741.949","6.502.670","6.983.116","6.705.014","6.482.339"
"Basilicata ","934.25","957.476","999.405","962.287","949.669","931.155"
"Calabria ","3.111.570","3.298.392","3.033.350","3.014.856","2.969.092","3.193.651"
"Sicilia ","7.713.605","8.181.841","8.396.780","8.671.216","8.502.758","8.133.938"
"Sardegna ","3.088.568","2.989.259","3.043.593","3.004.148","2.914.794","2.989.320"
"Nord-Occidentale ","35.368.089","35.570.124","35.229.383","34.544.239","37.032.064","32.366.001"
"Nord-Orientale ","23.528.681","22.125.833","23.252.127","23.210.875","23.545.117","21.904.505"
"Centrale ","25.277.711","21.722.364","21.925.701","22.093.095","23.004.912","21.110.886"
"Meridionale ","23.609.024","23.273.334","23.510.570","23.332.684","23.048.055","22.325.442"
"Insulare ","10.802.012","11.171.099","11.439.358","11.673.598","11.415.624","11.122.778"